Symbol,Name,Last_Sale,Net_Change,Percent_Change,Market_Cap,Volume,Sector,Industry
MHK,Mohawk Industries Inc. Common Stock,$158.81 ,2.31,1.48%,10023622840,442192,Consumer Discretionary,Home Furnishings
XP,XP Inc. Class A Common Stock,$18.20 ,0.05,0.28%,10000775767,3695444,Finance,Investment Bankers/Brokers/Service
BWXT,BWX Technologies Inc. Common Stock,$108.59 ,1.28,1.19%,9927302144,787760,Industrials,Industrial Machinery/Components
BSAC,Banco Santander - Chile ADS,$21.04 ,-0.21,-0.99%,9912266270,247633,Finance,Commercial Banks
ULS,UL Solutions Inc. Class A Common Stock,$49.50 ,0.04,0.08%,9900343976,848274,Health Care,Precision Instruments
BTSGU,BrightSpring Health Services Inc. Tangible Equity Unit,$57.52 ,1.01,1.79%,9862235342,1068,Health Care,Medical/Nursing Services
CHDN,Churchill Downs Incorporated Common Stock,$134.02 ,0.63,0.47%,9839290186,596690,Consumer Discretionary,Services-Misc. Amusement & Recreation
QRVO,Qorvo Inc. Common Stock,$103.60 ,-1.36,-1.30%,9827635446,1115681,Technology,Semiconductors
OLED,Universal Display Corporation Common Stock,$205.89 ,-1.75,-0.84%,9769922958,420065,Technology,Electrical Products
MTCH,Match Group Inc. Common Stock,$37.81 ,0.64,1.72%,9751010404,3831538,Technology,Computer Software: Programming Data Processing
EVR,Evercore Inc. Class A Common Stock,$254.13 ,-2.7,-1.05%,9742229332,245827,Finance,Investment Managers
MTZ,MasTec Inc. Common Stock,$122.80 ,0.07,0.06%,9728334625,584318,Industrials,Water Sewer Pipeline Comm & Power Line Construction
YMM,Full Truck Alliance Co. Ltd. American Depositary Shares (each representing 20 Class A Ordinary Shares),$9.20 ,0.13,1.43%,9693750605,18323616,Technology,Computer Software: Prepackaged Software
EHC,Encompass Health Corporation Common Stock,$96.01 ,-1.16,-1.19%,9661035629,793465,Health Care,Hospital/Nursing Management
PAYC,Paycom Software Inc. Common Stock,$167.80 ,0.34,0.20%,9637163768,467870,Technology,Computer Software: Prepackaged Software
EXP,Eagle Materials Inc Common Stock,$286.23 ,1.99,0.70%,9622757211,220360,Industrials,Building Materials
WIX,Wix.com Ltd. Ordinary Shares,$168.30 ,-3.44,-2.00%,9622147739,266091,Technology,Computer Software: Programming Data Processing
MKTX,MarketAxess Holdings Inc. Common Stock,$254.84 ,0.65,0.26%,9620713309,306081,Finance,Investment Bankers/Brokers/Service
SF,Stifel Financial Corporation Common Stock,$93.66 ,0.75,0.81%,9601345195,367183,Finance,Investment Bankers/Brokers/Service
LW,Lamb Weston Holdings Inc. Common Stock ,$66.80 ,0.3,0.45%,9597198284,2279161,Consumer Staples,Packaged Foods
GME,GameStop Corporation Common Stock,$22.48 ,0.19,0.85%,9587935628,7379381,Consumer Discretionary,Electronics Distribution
FRT,Federal Realty Investment Trust Common Stock,$114.38 ,0.75,0.66%,9570225613,409970,Real Estate,Real Estate Investment Trusts
GMED,Globus Medical Inc. Class A Common Stock,$70.61 ,0.09,0.13%,9561089470,662095,Health Care,Medical/Dental Instruments
DAY,Dayforce Inc. Common Stock,$60.20 ,1.41,2.40%,9517620000,1732674,Technology,Computer Software: Prepackaged Software
TPX,Tempur Sealy International Inc. Common Stock,$54.78 ,0.73,1.35%,9512510188,1241253,Consumer Discretionary,Home Furnishings
BILI,Bilibili Inc. American Depositary Shares,$22.92 ,1.83,8.68%,9446634452,18859598,Technology,EDP Services
CHKEW,Chesapeake Energy Corporation Class A Warrants,$71.89 ,8.19,12.86%,9437370677,103,Energy,Oil & Gas Production
WAL,Western Alliance Bancorporation Common Stock (DE),$85.58 ,0.22,0.26%,9421194454,823456,Finance,Major Banks
SIRI,SiriusXM Holdings Inc. Common Stock,$24.38 ,0.03,0.12%,9387185360,4760725,Consumer Discretionary,Broadcasting
KVYO,Klaviyo Inc. Series A Common Stock,$35.20 ,-0.02,-0.06%,9386880659,595796,Technology,Computer Software: Prepackaged Software
GL,Globe Life Inc. Common Stock,$104.40 ,-5.2,-4.75%,9377191296,1350992,Finance,Life Insurance
PRH,Prudential Financial Inc. 5.950% Junior Subordinated Notes due 2062,$26.20 ,0.04,0.15%,9353400000,31202,Finance,Life Insurance
AUR,Aurora Innovation Inc. Class A Common Stock,$5.96 ,0.16,2.76%,9349386720,9698358,Technology,EDP Services
SKM,SK Telecom Co. Ltd. Common Stock,$24.34 ,-0.13,-0.53%,9336337200,254718,Telecommunications,Telecommunications Equipment
RGLD,Royal Gold Inc. Common Stock,$141.80 ,-3.82,-2.62%,9322053381,668326,Industrials,Precious Metals
GNRC,Generac Holdlings Inc. Common Stock,$154.84 ,2.62,1.72%,9314049487,919940,Consumer Discretionary,Metal Fabrications
HSIC,Henry Schein Inc. Common Stock,$73.22 ,2.36,3.33%,9277545043,2482403,Health Care,Medical Specialities
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,$331.77 ,-0.33,-0.10%,9246648205,141663,Industrials,Biotechnology: Laboratory Analytical Instruments
APG,APi Group Corporation Common Stock,$33.64 ,-0.31,-0.91%,9240759378,2323243,Consumer Discretionary,Engineering & Construction
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,$20.95 ,-0.13,-0.62%,9211533343,10846911,Consumer Discretionary,Marine Transportation
CNM,Core & Main Inc. Class A Common Stock,$45.77 ,0.49,1.08%,9205762758,2691741,Consumer Discretionary,Durable Goods
VFS,VinFast Auto Ltd. Ordinary Shares,$3.92 ,0.01,0.26%,9164130912,666900,Finance,Blank Checks
PCOR,Procore Technologies Inc. Common Stock,$62.05 ,0.42,0.68%,9163857290,1205176,Technology,Computer Software: Prepackaged Software
STN,Stantec Inc Common Stock,$80.27 ,-0.67,-0.83%,9156157689,458330,Consumer Discretionary,Military/Government/Technical
EGP,EastGroup Properties Inc. Common Stock,$187.68 ,0.06,0.03%,9145689191,405040,Real Estate,Real Estate Investment Trusts
ORI,Old Republic International Corporation Common Stock,$35.38 ,-0.05,-0.14%,9145515633,796169,Finance,Property-Casualty Insurers
PSO,Pearson Plc Common Stock,$13.64 ,0,0.00%,9086399662,194625,Consumer Discretionary,Books
WF,Woori Financial Group Inc. American Depositary Shares (each representing three (3) shares of Common Stock),$36.71 ,-0.73,-1.95%,9086184572,58391,Finance,Commercial Banks
NYT,New York Times Company (The) Common Stock,$55.32 ,0.16,0.29%,9085205536,838404,Consumer Discretionary,Newspapers/Magazines
APA,APA Corporation Common Stock,$24.53 ,1.38,5.96%,9073765799,9075880,Energy,Oil & Gas Production
HLNE,Hamilton Lane Incorporated Class A Common Stock,$166.67 ,-0.53,-0.32%,9033095825,250071,Finance,Investment Managers
CHE,Chemed Corp,$599.04 ,-1.02,-0.17%,9015633469,59216,Health Care,Medical/Nursing Services
CZR,Caesars Entertainment Inc. Common Stock,$41.67 ,0.59,1.44%,9014803418,4973825,Consumer Discretionary,Hotels/Resorts
CX,Cemex S.A.B. de C.V. Sponsored ADR,$6.22 ,-0.19,-2.96%,9013321289,9566020,Industrials,Building Materials
CR,Crane Company Common Stock,$157.40 ,-1.19,-0.75%,9004862027,156235,Industrials,Metal Fabrications
BIRK,Birkenstock Holding plc Ordinary Shares,$49.25 ,-0.58,-1.16%,8999027423,1265792,Consumer Discretionary,Shoe Manufacturing
SEIC,SEI Investments Company Common Stock,$69.28 ,0.41,0.60%,8998979281,499310,Finance,Investment Bankers/Brokers/Service
PRS,Prudential Financial Inc. 5.625% Junior Subordinated Notes due 2058,$25.17 ,-0.0201,-0.08%,8985654300,18532,Finance,Life Insurance
PAC,Grupo Aeroportuario Del Pacifico S.A. B. de C.V. Grupo Aeroportuario Del Pacifico S.A. de C.V. (each representing 10 Series B shares),$177.69 ,-2.97,-1.64%,8978275187,75146,Consumer Discretionary,Aerospace
PCTY,Paylocity Holding Corporation Common Stock,$161.39 ,-1.75,-1.07%,8967990247,351387,Technology,Computer Software: Prepackaged Software
U,Unity Software Inc. Common Stock,$22.59 ,0.25,1.12%,8965017702,11464512,Technology,Computer Software: Prepackaged Software
LEGN,Legend Biotech Corporation American Depositary Shares,$49.27 ,2.42,5.17%,8962756694,984017,Health Care,Biotechnology: Pharmaceutical Preparations
INGR,Ingredion Incorporated Common Stock,$137.37 ,-0.14,-0.10%,8937488639,228340,Consumer Staples,Packaged Foods
AR,Antero Resources Corporation Common Stock,$28.71 ,1,3.61%,8929010970,4360256,Energy,Oil & Gas Production
PRI,Primerica Inc. Common Stock,$263.17 ,-3.43,-1.29%,8902393965,105023,Finance,Life Insurance
TTC,Toro Company (The) Common Stock,$86.65 ,0.02,0.02%,8891567481,757606,Consumer Discretionary,Tools/Hardware
FYBR,Frontier Communications Parent Inc. Common Stock,$35.71 ,-0.01,-0.03%,8891075800,2107540,Telecommunications,Telecommunications Equipment
DCI,Donaldson Company Inc. Common Stock,$73.82 ,-0.13,-0.18%,8888312897,608622,Industrials,Pollution Control Equipment
HRB,H&R Block Inc. Common Stock,$63.64 ,0.21,0.33%,8883762733,1004777,Consumer Discretionary,Other Consumer Services
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,$23.62 ,-0.17,-0.72%,8882486204,29736,Finance,Property-Casualty Insurers
